Time #1 (s),Signal #1-136-400Hz Frequency Power,Time #2 (s),Signal #2-136-400Hz Frequency Power
0,NaN,0,14.6671854614281
1,43.893119694423,1,26.8993862794721
2,86.1391691187374,2,40.5217764001727
3,112.452521559212,3,36.7141994734227
4,86.6182201579788,4,36.868898917193
5,103.547599929888,5,32.7467315174584
6,61.2972467633569,6,66.643812791418
7,55.6064371321193,7,65.6325720748565
8,108.340475266855,8,59.831102281536
9,90.9998183344563,9,59.6614128048393
10,56.3125677652889,10,55.5226026528335
11,80.6379815230135,11,62.1628801423375
12,75.5758836685313,12,58.5718401944766
13,67.6993733419872,13,59.0818392863806
14,68.7494079890022,14,59.1908010314891
15,70.297921200171,15,42.710495646744
16,48.4406462808312,16,64.342960275676
17,33.3976502519738,17,59.7052825413045
18,24.7645327958943,18,42.5224719766856
19,77.2567804466356,19,42.2000599684067
20,99.854781115456,20,42.5368930608552
21,56.6967611269812,21,69.8288476777934
22,35.2887543194975,22,56.687600399148
23,44.0388511227542,23,45.7059394042915
24,54.478547539058,24,91.7013024863641
25,43.8062489371236,25,55.0320921360849
26,59.7046077537587,26,50.3899153717284
27,53.3478152407913,27,70.5450106017752
28,45.1204193169959,28,54.2408243125477
29,134.431745450329,29,54.5468173783685
30,101.401612082343,30,63.1529230999023
31,93.2173980310448,31,41.0565171373546
32,55.296790381748,32,54.9717355508043
33,62.4576646528786,33,102.255188971333
34,62.96300846325,34,116.475545826198
35,61.9063790589314,35,82.7891119178314
36,50.1023718547462,36,48.3377461554112
37,92.6619219024402,37,43.5518398233557
38,42.3221858470579,38,59.5684908461408
39,53.616502464908,39,53.7648646353389
40,50.0614138402133,40,55.0128672508838
41,56.2530475389263,41,61.9365146129645
42,40.9608171731753,42,73.3418753692231
43,31.1321783999926,43,74.3581861045368
44,33.0546939595292,44,100.259855727892
45,24.5319917540351,45,71.0489896699276
46,83.9624479636482,46,56.2245670512861
47,46.722471688884,47,79.8946246448917
48,52.4996688730186,48,71.1972208048703
49,37.0631837371975,49,77.9557369295298
50,65.768394427596,50,46.3736366500042
51,72.5703098791157,51,69.0395864470913
52,35.6058525863386,52,43.8240388617256
53,22.9910857669865,53,66.6082347664747
54,67.7848546937298,54,68.7905857123504
55,47.5683445782452,55,60.8108935128424
56,27.1309236658638,56,77.6030273697063
57,55.6346805925003,57,78.7476744664422
58,84.7573602158235,58,108.260409043652
